"COLONY","PlantID","Sex_t","Sever","Time","Lf_t","ST.BOR.t","DMG.t","Total_nodes","SexF_t1","brnoF_t1","SexB_t1","brnoB_t1","LfFtot_t1","LfBtot_t1","Lftot_t1","SexF_t2","brnoF_t2","SexB_t2","brnoB_t2","LftotF_t2","LftotB_t2","Lftot_t2"
33,606,"S","C","T2","422.0265","N","N",6,"S",1,NA,"0",696.984,0,696.984,NA,NA,NA,NA,NA,NA,NA
33,607,"V","C","T2","628.67225","Y","N",7,"V",2,NA,"0",912.824,0,912.824,NA,NA,NA,NA,NA,NA,NA
33,608,"V","C","T2","392.329","N","N",6,"S",1,NA,"0",538.8585,0,538.8585,NA,NA,NA,NA,NA,NA,NA
33,609,"S","S1","T1","407.109","N","N",11,"S",1,"S","1",590.28,278.241,868.521,NA,NA,NA,NA,NA,NA,NA
33,610,"V","S1","T1","251.695","N","N",11,"S",1,"V","1",347.388,182.7303,530.1183,NA,NA,NA,NA,NA,NA,NA
33,611,"S","S2","T1","431.679","N","N",5,"V",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
33,612,"V","S2","T1","138.106","N","N",6,"V",1,NA,"0",300.376,0,300.376,NA,NA,NA,NA,NA,NA,NA
33,613,"S","S4","T1",".","N","N",5,"S",2,NA,"0",1269.714,0,1269.714,NA,NA,NA,NA,NA,NA,NA
33,614,"V","S4","T1","314.8","N","N",11,"V",1,NA,"0",408.7062,0,408.7062,NA,NA,NA,NA,NA,NA,NA
33,615,"S","C","T1","645.087","N","N",11,"S",1,NA,"0",699.792,0,699.792,NA,NA,NA,NA,NA,NA,NA
33,616,"V","C","T1","238.473","Y","N",5,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
33,618,"V","S1","T3","238.473","N","N",6,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
33,619,"S","S2","T3","516.0945","N","N",5,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
33,620,"V","S2","T3","265.2175","N","N",4,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
33,621,"S","S4","T3",".","","N",11,"V",1,NA,"0",531.761,0,531.761,NA,NA,NA,NA,NA,NA,NA
33,622,"V","S4","T3",".","","N",11,"V",1,"V","1",322.3125,82.4904,404.8029,NA,NA,NA,NA,NA,NA,NA
33,623,"S","C","T3","768.288","N","N",6,"S",1,NA,"0",774.906,0,774.906,NA,NA,NA,NA,NA,NA,NA
33,624,"V","C","T3","306.6865","N","N",6,"V",1,NA,"0",408.556,0,408.556,NA,NA,NA,NA,NA,NA,NA
34,625,"S","S1","T2","746.526","N","Y",8,NA,0,"S","1",0,575.538,575.538,NA,NA,NA,NA,NA,NA,NA
34,626,"V","S1","T2","513.13","N","N",7,"V",2,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,627,"S","S2","T2","568.92","N","N",9,"S",1,"V","1",583.26,485.7845,1069.0445,NA,NA,NA,NA,NA,NA,NA
34,628,"V","S2","T2","477.07","N","N",8,"S",2,NA,"0",699.779,0,699.779,NA,NA,NA,NA,NA,NA,NA
34,629,"S","S4","T2","529.0815","N","N",6,"S",3,NA,"0",681.682,0,681.682,NA,NA,NA,NA,NA,NA,NA
34,630,"V","S4","T2","300.376","N","N",6,"V",1,NA,"0",442.212,0,442.212,NA,NA,NA,NA,NA,NA,NA
34,631,"S","C","T2","485.031","N","N",7,"S",1,NA,"0",640.2975,0,640.2975,NA,NA,NA,NA,NA,NA,NA
34,632,"V","C","T2","314.8","N","N",5,"S",2,NA,"0",1142.8635,0,1142.8635,NA,NA,NA,NA,NA,NA,NA
34,634,"V","S1","T1","291.5375","N","N",11,"V",2,"V","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,635,"S","S2","T1","436.944","N","N",11,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
34,636,"V","S2","T1","352.663","N","N",11,"S",1,NA,"0",391.965,0,391.965,NA,NA,NA,NA,NA,NA,NA
34,637,"S","S4","T1","543.1215","N","N",11,"S",1,NA,"0",435.3135,0,435.3135,NA,NA,NA,NA,NA,NA,NA
34,639,"S","C","T1","677.73","N","N",11,"S",1,NA,"0",785.085,0,785.085,NA,NA,NA,NA,NA,NA,NA
34,640,"V","C","T1","359.875","N","N",5,"S",1,NA,"0",478.311,0,478.311,NA,NA,NA,NA,NA,NA,NA
34,641,"S","S1","T3","595.596","N","N",11,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
34,642,"V","S1","T3","392.329","N","N",11,"V",1,NA,"0",122.7805,0,122.7805,NA,NA,NA,NA,NA,NA,NA
34,643,"S","S2","T3","729.327","N","N",11,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
34,644,"V","S2","T3","329.67475","N","N",11,"V",1,NA,"0",352.3625,0,352.3625,NA,NA,NA,NA,NA,NA,NA
34,645,"S","S4","T3","548.7375","Y","N",11,"V",1,NA,"0",368.289,0,368.289,NA,NA,NA,NA,NA,NA,NA
34,647,"S","C","T3","518.727","N","N",11,"V",1,NA,"0",437.5805,0,437.5805,NA,NA,NA,NA,NA,NA,NA
34,648,"V","C","T3","352.663","N","N",11,"V",1,NA,"0",459.4907,0,459.4907,NA,NA,NA,NA,NA,NA,NA
35,649,"S","S1","T2","394.9995","N","N",7,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
35,650,"V","S1","T2","392.17875","N","N",7,"S",1,"V","1",382.839,367.3875,750.2265,NA,NA,NA,NA,NA,NA,NA
35,651,"S","S2","T2","587.172","Y","N",6,NA,0,"V","1",0,408.7062,408.7062,NA,NA,NA,NA,NA,NA,NA
35,652,"V","S2","T2","608.53875","Y","Y",7,NA,0,"V","1",0,165.4515,165.4515,NA,NA,NA,NA,NA,NA,NA
35,653,"S","S4","T2","552.423","N","N",6,"S",2,NA,"0",504.0975,0,504.0975,NA,NA,NA,NA,NA,NA,NA
35,654,"V","S4","T2","408.556","N","N",6,"S",1,"V","1",477.96,79.4251,557.3851,NA,NA,NA,NA,NA,NA,NA
35,655,"S","C","T2","476.7825","N","N",6,"S",1,NA,"0",817.728,0,817.728,NA,NA,NA,NA,NA,NA,NA
35,656,"V","C","T2","408.556","N","N",6,"S",1,NA,"0",502.881,0,502.881,NA,NA,NA,NA,NA,NA,NA
35,657,"S","S1","T1","534.522","N","N",7,"S",1,"V","1",NA,258.4562,NA,NA,NA,NA,NA,NA,NA,NA
35,658,"V","S1","T1","245.084","N","N",7,"S",1,NA,"0",261.042,0,261.042,NA,NA,NA,NA,NA,NA,NA
35,659,"S","S2","T1","528.0285","N","N",6,"S",1,"V","1",NA,102.9622,NA,NA,NA,NA,NA,NA,NA,NA
35,660,"V","S2","T1","425.384","N","N",7,"V",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
35,661,"S","S4","T1","730.731","N","N",6,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
35,662,"V","S4","T1","345.00025","N","N",5,"S",1,NA,"0",590.4204,0,590.4204,NA,NA,NA,NA,NA,NA,NA
35,663,"S","C","T1","718.062125","N","N",7,"S",2,NA,"0",656.661,0,656.661,NA,NA,NA,NA,NA,NA,NA
35,664,"V","C","T1","345.00025","N","N",6,"V",1,NA,"0",531.761,0,531.761,NA,NA,NA,NA,NA,NA,NA
35,665,"S","S1","T3","609.987","N","N",11,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
35,666,"V","S1","T3","344.85","N","N",11,"V",1,NA,"0",329.6747,0,329.6747,NA,NA,NA,NA,NA,NA,NA
35,667,"S","S2","T3","428.871","N","N",5,"S",3,"V","1",865.804,323.5285,1189.3325,NA,NA,NA,NA,NA,NA,NA
35,668,"V","S2","T3","659.65","N","N",4,"V",1,"V","1",361.9785,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,669,"S","S4","T3","823.395","N","N",11,"S",2,NA,"0",1332.543,0,1332.543,NA,NA,NA,NA,NA,NA,NA
35,670,"V","S4","T3","367.9885","N","N",6,"S",1,NA,"0",534.822,0,534.822,NA,NA,NA,NA,NA,NA,NA
35,671,"S","C","T3","719.3235","N","N",11,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
35,672,"V","C","T3","408.556","N","N",6,"S",1,NA,"0",695.58,0,695.58,NA,NA,NA,NA,NA,NA,NA
36,673,"S","S1","T2","750.387","N","N",7,"V",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
36,674,"V","S1","T2","522.4455","N","N",6,"V",1,"V","1",300.376,450.9265,751.3025,NA,NA,NA,NA,NA,NA,NA
36,675,"S","S2","T2","467.3055","N","N",6,"V",1,NA,"0",159.742,0,159.742,NA,NA,NA,NA,NA,NA,NA
36,676,"V","S2","T2","486.085","N","N",6,"S",1,NA,"0",493.404,0,493.404,NA,NA,NA,NA,NA,NA,NA
36,677,"S","S4","T2","865.6905","N","N",6,"S",2,"V","1",652.638,117.672,770.31,NA,NA,NA,NA,NA,NA,NA
36,678,"V","S4","T2","337.3375","Y","N",5,"V",1,NA,"0",442.212,0,442.212,NA,NA,NA,NA,NA,NA,NA
36,679,"S","C","T2","657.723","N","N",7,"V",1,NA,"0",392.329,0,392.329,NA,NA,NA,NA,NA,NA,NA
36,680,"V","C","T2","459.641","N","N",6,"V",1,NA,"0",648.8057,0,648.8057,NA,NA,NA,NA,NA,NA,NA
36,681,"S","S1","T1","715.638","N","N",7,"S",2,"V","1",NA,513.2803,NA,NA,NA,NA,NA,NA,NA,NA
36,682,"V","S1","T1","450.025","N","N",11,"V",2,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,683,"S","S2","T1","332.8725","N","N",7,"V",1,"V","1",NA,352.663,NA,NA,NA,NA,NA,NA,NA,NA
36,684,"V","S2","T1","638.739","N","N",11,"V",1,"V","1",513.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,685,"S","S4","T1","452.2125","N","N",11,"V",1,NA,"0",588.856,0,588.856,NA,NA,NA,NA,NA,NA,NA
36,686,"V","S4","T1","400.4425","N","N",7,"V",1,NA,"0",598.472,0,598.472,NA,NA,NA,NA,NA,NA,NA
36,687,"S","C","T1","684.5745","N","N",11,"V",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
36,688,"V","C","T1","459.49075","N","N",11,"V",1,NA,"0",669.39,0,669.39,NA,NA,NA,NA,NA,NA,NA
36,689,"S","S1","T3","485.031","N","N",7,"V",2,"V","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,690,"V","S1","T3","659.173","N","N",11,"V",1,"V","1",360.476,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,691,"S","S2","T3","794.262","N","N",5,"V",1,"V","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,692,"V","S2","T3","504.115","N","N",5,"V",1,"V","1",513.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,693,"S","S4","T3","750.738","N","N",11,"V",1,NA,"0",327.421,0,327.421,NA,NA,NA,NA,NA,NA,NA
36,694,"V","S4","T3","416.0685","N","N",6,"S",1,NA,"0",449.178,0,449.178,NA,NA,NA,NA,NA,NA,NA
36,695,"S","C","T3","788.1195","N","N",5,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
36,696,"V","C","T3","637.8375","N","N",5,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
100,697,"S","S1","T2","267.762","Y","N",6,"V",1,"V","1",153.5954,NA,NA,"V",2,"V",1,288.76345,171.01075,459.7742
100,698,"V","S1","T2","265.2175","N","N",6,"V",1,"V","1",NA,182.58,NA,"V",1,"V",1,82.27145,319.59435,401.8658
100,699,"S","S2","T2","518.5515","N","N",6,"S",1,"V","1",203.478,194.6,398.078,"V",2,"V",2,558.3815,233.1907,791.5722
100,702,"V","S4","T2","329.67475","N","N",6,"S",1,NA,"0",377.574,0,377.574,"V",1,"NAN",0,384.2155,0,384.2155
100,703,"S","C","T2","321.114","N","N",5,"V",1,NA,"0",NA,0,NA,"S",2,"NAN",0,419.35595,0,419.35595
100,704,"V","C","T2","238.473","N","N",6,"S",1,NA,"0",387.402,0,387.402,"V",1,"NAN",0,352.3625,0,352.3625
100,705,"S","S1","T1","300.2295","N","N",11,"S",2,"V","1",97.42,148.924,246.344,"V",2,"V",1,489.11625,272.129,761.24525
100,706,"V","S1","T1","225.5515","N","N",11,"V",2,"V","1",NA,272.129,NA,"V",2,"V",1,188.6274,329.825,518.4524
100,707,"S","S2","T1","459.5835","N","N",11,"S",1,"V","1",313.692,170.56,484.252,"V",1,"V",2,376.102,304.1585,680.2605
100,708,"V","S2","T1","212.9305","Y","N",11,"S",1,NA,"0",215.412,0,215.412,"V",1,"NAN",0,122.7805,0,122.7805
100,709,"S","S4","T1","229.152","N","N",11,"S",1,NA,"0",496.914,0,496.914,"V",2,"NAN",0,521.87075,0,521.87075
100,710,"V","S4","T1","314.95025","N","N",11,"S",1,NA,"0",NA,0,NA,"V",1,"NAN",0,159.89225,0,159.89225
100,712,"V","C","T1","322.3125","Y","N",11,"S",1,NA,"0",309.48,0,309.48,"V",1,"NAN",0,392.95625,0,392.95625
100,713,"S","S1","T3","587.523","N","N",11,"S",1,"V","2",310.182,NA,NA,"V",1,"V",2,200.61,446.45,647.06
100,714,"V","S1","T3","384.2155","N","N",11,"S",2,"V","1",345.083,194.6,539.683,"V",2,"V",1,352.6197,376.102,728.7217
100,715,"S","S2","T3","366.042","N","N",11,"S",1,"V","1",415.482,15.9296,431.4116,"V",1,"V",1,442.36225,91.2484,533.61065
100,716,"V","S2","T3","293.164","N","Y",11,"V",1,"V","1",311.194,NA,NA,"V",2,"V",1,380.786,138.25625,519.04225
100,719,"S","C","T3","328.6605","N","N",11,"V",2,NA,"0",552.672,0,552.672,"V",2,"NAN",0,510.45175,0,510.45175
100,720,"V","C","T3","293.164","N","N",11,"S",1,NA,"0",702.6,0,702.6,"S",1,"NAN",0,666.798,0,666.798
